Date & Time,use [kW],gen [kW],Grid [kW],AC [kW],Furnace [kW],Cellar Lights [kW],Washer [kW],First Floor lights [kW],Utility Rm + Basement Bath [kW],Garage outlets [kW],MBed + KBed outlets [kW],Dryer + egauge [kW],Panel GFI (central vac) [kW],Home Office (R) [kW],Dining room (R) [kW],Microwave (R) [kW],Fridge (R) [kW]
2015-01-01 00:00:00,0.300236667,0.0,0.300236667,0.000297778,0.009304444,0.006628333,0.000507778,0.003864444,0.002452222,0.004698333,0.138605,0.000113333,0.000312778,0.005,0.023986667,0.004765,0.003
2015-01-01 00:30:00,0.291521667,0.0,0.291521667,0.000261667,0.009401667,0.006723333,0.000471111,0.003865556,0.002448333,0.004728889,0.122165556,0.000122222,0.000321111,0.005,0.009978333,0.004833889,0.037902222
2015-01-01 01:00:00,0.290701667,0.0,0.290701667,0.000163889,0.009291111,0.00674,0.000392778,0.003776111,0.002418333,0.004704444,0.090557778,0.000126667,0.000335556,0.005,0.001309444,0.004804444,0.096869444
2015-01-01 01:30:00,0.179215556,0.0,0.179215556,0.000126667,0.009400556,0.006777778,0.000327222,0.003798889,0.002403333,0.004695556,0.059818333,4.7778e-05,0.00028,0.005,0.001351667,0.00482,0.003
2015-01-01 02:00:00,0.214932778,0.0,0.214932778,0.000118333,0.009522222,0.006828333,0.000330556,0.003811667,0.002436111,0.004772778,0.060232778,7.5556e-05,0.000298889,0.004999444,0.001357222,0.004863889,0.043399444
2015-01-01 02:30:00,0.264436667,0.0,0.264436667,9.2222e-05,0.009565556,0.006869444,0.00032,0.003794444,0.002407778,0.004732222,0.05972,0.000108889,0.000321111,0.005,0.001499444,0.004891667,0.102796111
2015-01-01 03:00:00,0.180035556,0.0,0.180035556,0.000112222,0.009507778,0.006806667,0.000341111,0.003822778,0.00246,0.004796667,0.059957778,4.4444e-05,0.000295556,0.005,0.001270556,0.004833889,0.003
2015-01-01 03:30:00,0.324772222,0.0,0.324772222,0.000867222,0.153630556,0.006893889,0.000306111,0.003782778,0.002312222,0.004786667,0.060543333,2.222e-06,0.000312778,0.005022778,0.001226667,0.004763333,0.003
2015-01-01 04:00:00,0.679146111,0.0,0.679146111,0.002101111,0.405043889,0.007049444,0.000213333,0.003637222,0.002090556,0.004825,0.060245556,1.6667e-05,0.000392222,0.005063889,0.00094,0.004561667,0.125461111
2015-01-01 04:30:00,0.450031111,0.0,0.450031111,0.001458889,0.266211111,0.006955,0.000273889,0.003729444,0.002204444,0.004815556,0.060306111,3.2222e-05,0.000314444,0.005018889,0.001251111,0.004723333,0.018205
2015-01-01 05:00:00,0.18263,0.0,0.18263,0.000103889,0.009605,0.006881667,0.000337222,0.00385,0.002422778,0.004792222,0.060449444,4.5556e-05,0.000262222,0.005,0.001648333,0.004938333,0.003
2015-01-01 05:30:00,0.584187778,0.0,0.584187778,0.00184,0.347384444,0.007093889,0.000225,0.003705556,0.002164444,0.004888333,0.060745556,1.1111e-05,0.000347222,0.005072778,0.001058333,0.004691111,0.08015
2015-01-01 06:00:00,0.616157778,0.0,0.616157778,0.002075556,0.379032778,0.021866111,0.000191667,0.003671111,0.002143333,0.004853889,0.060146667,3.1111e-05,0.000341667,0.005093889,0.000999444,0.004647222,0.064252778
2015-01-01 06:30:00,0.545135,0.0,0.545135,0.002062778,0.375161667,0.007079444,0.000198333,0.003664444,0.002132222,0.004820556,0.060045,5.6667e-05,0.000291667,0.005057778,0.001,0.004593889,0.003
2015-01-01 07:00:00,0.59854,0.0,0.59854,0.002058889,0.377160556,0.007132778,0.000193333,0.003645556,0.002113889,0.004792778,0.060526667,7.778e-06,0.000297778,0.005000556,0.001,0.004661111,0.072702778
2015-01-01 07:30:00,0.604916667,0.0,0.604916667,0.002042778,0.376090556,0.007134444,0.000188889,0.003626667,0.002129444,0.004823333,0.058179444,1.111e-06,0.000292222,0.005044444,0.001,0.004630556,0.089347778
2015-01-01 08:00:00,0.532340556,0.0,0.532340556,0.002098333,0.376850556,0.007113889,0.000208333,0.003661667,0.002130556,0.004826111,0.058504444,3.7778e-05,0.000239444,0.005047222,0.001,0.004645556,0.003
2015-01-01 08:30:00,0.639931667,0.0,0.639931667,0.002083333,0.384117222,0.007093889,0.000191667,0.003595556,0.002103333,0.004785556,0.058353889,2.222e-06,0.000279444,0.005046667,0.001,0.004626667,0.096242222
2015-01-01 09:00:00,0.666625556,0.0,0.666625556,0.002077222,0.386128889,0.007066667,0.000192222,0.003582222,0.002102222,0.004789444,0.058973889,6.667e-06,0.000279444,0.005035556,0.000999444,0.004620556,0.077865556
2015-01-01 09:30:00,0.584894444,0.0,0.584894444,0.002051667,0.369781667,0.007016111,0.00021,0.003603333,0.002112778,0.004781667,0.057917222,2.7778e-05,0.000234444,0.005026667,0.001,0.004646111,0.002838889
2015-01-01 10:00:00,0.676091111,0.0,0.676091111,0.002007222,0.368222222,0.007022778,0.000197222,0.003538889,0.002082222,0.004705556,0.058267222,2e-05,0.000282222,0.005095556,0.001,0.004602778,0.110962778
2015-01-01 10:30:00,0.424885,0.0,0.424885,0.000797778,0.149735,0.006901667,0.000256667,0.003622778,0.002237778,0.00465,0.058292222,3.5556e-05,0.000230556,0.00504,0.001432778,0.004770556,0.071192222
2015-01-01 11:00:00,0.729562222,0.0,0.729562222,0.002126667,0.354399444,0.084553889,0.00017,0.003459444,0.002186667,0.004686667,0.058492222,0.0,0.000256667,0.005007222,0.001012778,0.004645,0.002833889
2015-01-01 11:30:00,0.554756111,0.0,0.554756111,0.000977222,0.186734444,0.006953889,0.000238333,0.003559444,0.002195,0.004618333,0.057671667,6.6667e-05,0.000268889,0.004999444,0.001335,0.004786667,0.134876111
2015-01-01 12:00:00,0.220032222,0.0,0.220032222,3.3333e-05,0.009333889,0.006816111,0.000303333,0.003668889,0.002357222,0.004635,0.057971667,4.5556e-05,0.000196111,0.005008333,0.001463889,0.004860556,0.053839444
